st_name,st_line,st_lat,st_lng
소요산역,1호선,37.9488975919392,127.061128608638
동두천역,1호선,37.9276132662293,127.05492800053
보산역,1호선,37.9141449200828,127.057178751034
동두천중앙역,1호선,37.9017807357936,127.05642330094
지행역,1호선,37.89187790665784,127.05566541206078
덕정역,1호선,37.8431876500694,127.06155932141
덕계역,1호선,37.8187525814885,127.056691678415
양주역,1호선,37.7741421622165,127.044721319691
녹양역,1호선,37.759385253302,127.042279351606
가능역,1호선,37.7483963196456,127.044288264841
의정부역,1호선,37.7383624923599,127.045956826767
회룡역,1호선,37.7238058806629,127.047295368138
망월사역,1호선,37.7102191609902,127.047418285506
도봉산역,1호선,37.68956123294353,127.04606047975255
도봉역,1호선,37.6792119046658,127.045534886672
방학역,1호선,37.6674383662755,127.044321721307
창동역,1호선,37.6533385121404,127.047644999036
녹천역,1호선,37.6446334450742,127.051383151942
월계역,1호선,37.6332775453974,127.058857087601
광운대역,1호선,37.6238373628149,127.061695160651
석계역,1호선,37.6150055279479,127.065688331494
신이문역,1호선,37.6017816437084,127.067398003775
외대앞역,1호선,37.5962732416653,127.06369251069
회기역,1호선,37.5897962196601,127.058048369273
청량리역,1호선,37.5800388582901,127.044727231311
제기동역,1호선,37.5781752985683,127.034949495921
신설동역,1호선,37.5760299683175,127.024456700382
동묘앞역,1호선,37.5732166600283,127.016364227103
동대문역,1호선,37.5716676040162,127.010631546623
종로5가역,1호선,37.570976108369,127.001539477188
종로3가역,1호선,37.570420844523,126.992153252476
종각역,1호선,37.5702288920691,126.983151948921
시청역,1호선,37.5653444955867,126.977199342956
서울역,1호선,37.5559802396321,126.972091251236
남영역,1호선,37.5405657717581,126.971332097936
용산역,1호선,37.52977360379245,126.96474263398179
노량진역,1호선,37.5140547961008,126.942109882124
대방역,1호선,37.5133541411624,126.926496753621
신길역,1호선,37.51678703217714,126.91836721069228
영등포역,1호선,37.5156726288261,126.907550274975
신도림역,1호선,37.508908482648,126.891312500851
구로역,1호선,37.50334245844327,126.88230919182318
구일역,1호선,37.496254517687,126.86969110539
개봉역,1호선,37.4946417150651,126.858715959622
오류동역,1호선,37.49439720933549,126.84480744815397
온수역,1호선,37.4923999909922,126.823828819915
역곡역,1호선,37.485314358615625,126.81205932067193
소사역,1호선,37.48280032710237,126.79564427244556
부천역,1호선,37.4839888842916,126.783081743529
중동역,1호선,37.4866816250266,126.764535113735
송내역,1호선,37.48762042978674,126.75303966172912
부개역,1호선,37.488477043182,126.740730089704
부평역,1호선,37.4894490429055,126.724331088618
백운역,1호선,37.483342495597,126.707294407871
동암역,1호선,37.4706957867304,126.702889753462
간석역,1호선,37.4647071796968,126.693517898292
주안역,1호선,37.4650532935666,126.679970189053
도화역,1호선,37.4661175111199,126.668575935273
제물포역,1호선,37.466733104861405,126.65696637554376
도원역,1호선,37.46877345079704,126.64253289201078
동인천역,1호선,37.47540823022216,126.63261829085184
인천역,1호선,37.4761676094062,126.616821060576
가산디지털단지역,1호선,37.4815311901749,126.882614758479
독산역,1호선,37.4659755677766,126.889475639948
금천구청역,1호선,37.4561943743749,126.893608614581
광명역,1호선,37.4167362171922,126.884961689119
금천구청역,1호선,37.4561943743749,126.893608614581
석수역,1호선,37.43509293822681,126.90232078368835
관악역,1호선,37.41956795517324,126.90849999541258
안양역,1호선,37.4016838636508,126.922729807594
명학역,1호선,37.3844604191546,126.935592791667
금정역,1호선,37.3723365607104,126.943271168756
군포역,1호선,37.35419227847359,126.948517502286
당정역,1호선,37.343689819399884,126.94837119045768
의왕역,1호선,37.3203421132836,126.9479765012
성균관대역,1호선,37.3003290017027,126.971022000022
화서역,1호선,37.2840016829776,126.9896120326472
수원역,1호선,37.26568218296588,127.00004960484385
세류역,1호선,37.243872520123844,127.01379969649852
병점역,1호선,37.206752699495524,127.03320037309325
세마역,1호선,37.1871352848477,127.043426817312
오산대역,1호선,37.1693504386917,127.063075726398
오산역,1호선,37.1447171633287,127.066630122646
진위역,1호선,37.1100790285838,127.062355993621
송탄역,1호선,37.0757126572027,127.05428046136659
서정리역,1호선,37.0565637021655,127.052881703722
지제역,1호선,37.0189003501333,127.070511577443
평택역,1호선,36.9908490091432,127.085272971043
성환역,1호선,36.9159530167598,127.126837110236
직산역,1호선,36.8709328418739,127.143823728817
두정역,1호선,36.8335990318913,127.149080841068
천안역,1호선,36.8105230585171,127.146489919432
봉명역,1호선,36.8014198330363,127.1360381121
쌍용역,1호선,36.7937257780754,127.121378271233
아산역,1호선,36.7921165665983,127.104076682696
배방역,1호선,36.7776965014173,127.052788090648
온양온천역,1호선,36.7805448837693,127.003181472942
신창역,1호선,36.7696422998843,126.951393082675
서동탄역,1호선,37.1957351505295,127.051856779194
까치산역,2호선,37.5314060103327,126.846948282657
신정네거리역,2호선,37.5202231231721,126.852889567642
양천구청역,2호선,37.5123888716808,126.865722369229
도림천역,2호선,37.5145080414761,126.882649092584
신도림역,2호선,37.50822039056664,126.89161208770004
문래역,2호선,37.5179757181801,126.894778820701
영등포구청역,2호선,37.5258305311402,126.89667739939
당산역,2호선,37.5347843171332,126.902611795523
합정역,2호선,37.5499122605939,126.914456329462
홍대입구역,2호선,37.5568707448873,126.923778562273
신촌역,2호선,37.55519907036358,126.93698075917935
이대역,2호선,37.556814719896,126.946431808973
아현역,2호선,37.55740617797663,126.95614644008904
충정로역,2호선,37.5597623875712,126.964493206988
시청역,2호선,37.5636827382285,126.9755971383
을지로입구역,2호선,37.5660373193635,126.982193047079
을지로3가역,2호선,37.5662905969967,126.9909855674
을지로4가역,2호선,37.5666405038268,126.997632059113
동대문역사문화공원역,2호선,37.5656635044556,127.009005301929
신당역,2호선,37.5656730531732,127.019477533278
상왕십리역,2호선,37.564438467635,127.029274674797
왕십리역,2호선,37.5612683640285,127.037101112459
한양대역,2호선,37.5557159860408,127.043639802768
뚝섬역,2호선,37.547241554679,127.04738727881
성수역,2호선,37.5445888153751,127.056066999327
건대입구역,2호선,37.5404084182632,127.069202917341
구의역,2호선,37.5371752725594,127.086180837795
강변역,2호선,37.5351180385975,127.094741101863
잠실나루역,2호선,37.5207124124456,127.103808749487
잠실역,2호선,37.513312862699,127.100228759082
잠실새내역,2호선,37.5116263587296,127.086314327913
종합운동장역,2호선,37.5111446632705,127.073849447402
삼성역,2호선,37.5088227390184,127.063025473533
선릉역,2호선,37.504497373492,127.048961694022
역삼역,2호선,37.5006744185994,127.03646946847
강남역,2호선,37.4980854357918,127.028000275071
교대역,2호선,37.4938999991414,127.014383829781
서초역,2호선,37.4918499338918,127.007662120039
방배역,2호선,37.4814561268152,126.997553345516
사당역,2호선,37.4765604303289,126.981558584016
낙성대역,2호선,37.4770932409965,126.963523905001
서울대입구역,2호선,37.4812845080678,126.952713197762
봉천역,2호선,37.4824725161034,126.941686527151
신림역,2호선,37.4842680361482,126.929745374123
신대방역,2호선,37.4876522647152,126.913509735491
구로디지털단지역,2호선,37.4852605752505,126.901473080039
대림역,2호선,37.4933099444417,126.894931036051
용답역,2호선,37.5621245777796,127.050891808569
신답역,2호선,37.5698386846442,127.047080117369
용두역,2호선,37.5740621283646,127.038275698211
신설동역,2호선,37.5748045192005,127.024918166399
대화역,3호선,37.676157377075,126.747500970967
주엽역,3호선,37.6701494878278,126.761263524195
정발산역,3호선,37.659480619983,126.773405960872
마두역,3호선,37.6522411365818,126.777611729721
백석역,3호선,37.6429623651607,126.788131509803
대곡역,3호선,37.6316955592152,126.810929998862
화정역,3호선,37.6346440058753,126.832688422366
원당역,3호선,37.6531102058516,126.842918441607
원흥역,3호선,37.6506921774602,126.87302523491
삼송역,3호선,37.6530749531282,126.895671839107
지축역,3호선,37.6481486423031,126.913854269202
구파발역,3호선,37.6364357889145,126.918852820009
연신내역,3호선,37.6192032466353,126.921100704496
불광역,3호선,37.6100477979795,126.930315826401
녹번역,3호선,37.6008067681825,126.935828008217
홍제역,3호선,37.5887953806088,126.944158007985
무악재역,3호선,37.5825632263526,126.950230954136
독립문역,3호선,37.5744680817828,126.957915974354
경복궁역,3호선,37.5758061234865,126.973691352767
안국역,3호선,37.576500118896,126.985423696742
종로3가역,3호선,37.5715632878291,126.991876930132
을지로3가역,3호선,37.5664312655685,126.992615486076
충무로역,3호선,37.5613965840169,126.994150735779
동대입구역,3호선,37.5590540173075,127.005314877093
약수역,3호선,37.5545053994984,127.010891666957
금호역,3호선,37.5482627248715,127.015829169834
옥수역,3호선,37.5415662783673,127.017393782846
압구정역,3호선,37.5264921751712,127.0285086593
신사역,3호선,37.5164350739218,127.020310824772
잠원역,3호선,37.5128899169357,127.011419491429
고속터미널역,3호선,37.504553359813926,127.00513910447133
교대역,3호선,37.4927431676548,127.013867969161
남부터미널역,3호선,37.4851996335293,127.01620028391
양재역,3호선,37.4845759109484,127.034164133397
매봉역,3호선,37.4869394661317,127.046711448388
도곡역,3호선,37.4909757841747,127.055497705714
대치역,3호선,37.4944966528582,127.063203409529
학여울역,3호선,37.4968851977644,127.071166599707
대청역,3호선,37.4937083222418,127.07952699005
일원역,3호선,37.4839886684666,127.084129757128
수서역,3호선,37.487560248798,127.102410530715
가락시장역,3호선,37.4922493218664,127.11764173832
경찰병원역,3호선,37.4960049150853,127.124482397777
오금역,3호선,37.50236083340425,127.12848061228276
당고개역,4호선,37.6702168353314,127.079066619316
상계역,4호선,37.660720544722,127.073421632239
노원역,4호선,37.6563403513278,127.063449137455
창동역,4호선,37.6533706449195,127.04838841056
쌍문역,4호선,37.6485426057036,127.03465609756
수유역,4호선,37.637884492978,127.025510241279
미아역,4호선,37.6266544891889,127.026041090189
미아사거리역,4호선,37.6132792649944,127.030086636648
길음역,4호선,37.603394782557096,127.02505906491119
성신여대입구역,4호선,37.5929699315407,127.017124928876
한성대입구역,4호선,37.5884228114979,127.006018948943
혜화역,4호선,37.5820439179086,127.001942745502
동대문역,4호선,37.5709072753658,127.009313828405
동대문역사문화공원역,4호선,37.5651446088803,127.007914106882
충무로역,4호선,37.5615119611571,126.995255388268
명동역,4호선,37.5609634671841,126.986400086711
회현역,4호선,37.558760244882336,126.97843725718793
서울역,4호선,37.5530287004642,126.972644620034
숙대입구역,4호선,37.5445952301115,126.972118127373
삼각지역,4호선,37.5344393447708,126.972922951307
신용산역,4호선,37.5292591489375,126.967965039183
이촌역,4호선,37.522566199196,126.9740607419023
동작역,4호선,37.5029777751104,126.980317100738
총신대입구역,4호선,37.4867995957995,126.982211871752
사당역,4호선,37.4775912070902,126.98169851997
남태령역,4호선,37.4642499558525,126.989085267707
선바위역,4호선,37.451747988798516,127.00222869400723
경마공원역,4호선,37.4439629881231,127.007838042533
대공원역,4호선,37.4360557449009,127.006752481821
과천역,4호선,37.4328771044773,126.996619382321
정부과천청사역,4호선,37.4265047272927,126.989868044926
인덕원역,4호선,37.4014941709597,126.976679855187
평촌역,4호선,37.39423950914369,126.9638080221341
범계역,4호선,37.3897837540429,126.950783269518
금정역,4호선,37.3724700097339,126.943474284449
산본역,4호선,37.3580193085257,126.933046329836
수리산역,4호선,37.3505579695805,126.92563095069
대야미역,4호선,37.327965125951,126.916897519557
반월역,4호선,37.3123817631801,126.90382444207
상록수역,4호선,37.30285235924208,126.8666056400078
한대앞역,4호선,37.3097642520521,126.853688654794
중앙역,4호선,37.3160120850251,126.83849638923743
고잔역,4호선,37.31679729846911,126.82303461775037
초지역,4호선,37.3206666081827,126.805967131378
안산역,4호선,37.3270130575427,126.788881942392
신길온천역,4호선,37.337633057163956,126.7670414423186
정왕역,4호선,37.3518229615641,126.742929908305
오이도역,4호선,37.36170269464333,126.73840352940697
방화역,5호선,37.5776031994404,126.812819296675
개화산역,5호선,37.5725371505293,126.806814314979
김포공항역,5호선,37.5620980100137,126.801254548071
송정역,5호선,37.5611612387718,126.812430347154
마곡역,5호선,37.56022863776301,126.82469691791624
발산역,5호선,37.5586795483395,126.837738666588
우장산역,5호선,37.5488170866429,126.836325138536
화곡역,5호선,37.5416507925709,126.840455026335
까치산역,5호선,37.5322306724471,126.846444264065
신정역,5호선,37.5250276134139,126.856097474225
목동역,5호선,37.5261333139242,126.864625274831
오목교역,5호선,37.5245340839144,126.875307312696
양평역,5호선,37.5255796429707,126.886419282885
영등포구청역,5호선,37.5242291583027,126.895322094259
영등포시장역,5호선,37.522709383885,126.905179566968
신길역,5호선,37.517663974187,126.914913947722
여의도역,5호선,37.5217753947299,126.924397990207
여의나루역,5호선,37.5271469489465,126.93298596744
마포역,5호선,37.5395549311262,126.945864834547
공덕역,5호선,37.5445416897534,126.951451177648
애오개역,5호선,37.5534131497489,126.956669363197
충정로역,5호선,37.56042867918723,126.96303964820936
서대문역,5호선,37.5657528373011,126.966636426216
광화문역,5호선,37.5716477085545,126.976423148119
종로3가역,5호선,37.5725903129065,126.990418811667
을지로4가역,5호선,37.5675631311341,126.998044047647
동대문역사문화공원역,5호선,37.56462215433,127.005790659048
청구역,5호선,37.5602101936978,127.013943845279
신금호역,5호선,37.5544752914945,127.020493165536
행당역,5호선,37.5573637818732,127.029511840513
왕십리역,5호선,37.5620395442549,127.037332388855
마장역,5호선,37.5661389565959,127.042984855663
답십리역,5호선,37.56697480965114,127.05256127651293
장한평역,5호선,37.5616029900695,127.063703730302
군자역,5호선,37.5571496853206,127.079512877207
아차산역,5호선,37.5522482688631,127.089566085085
광나루역,5호선,37.5452991715677,127.103521464507
천호역,5호선,37.5385112120297,127.12392845044
강동역,5호선,37.5358819145235,127.132396300314
길동역,5호선,37.5378264874159,127.140021295948
굽은다리역,5호선,37.5455175915913,127.142882741733
명일역,5호선,37.5513978958277,127.14404374474
고덕역,5호선,37.5550467687924,127.154163876055
상일동역,5호선,37.5566778757215,127.165905758209
둔촌동역,5호선,37.52765684247226,127.13621464981398
올림픽공원역,5호선,37.5163389870117,127.130963675401
방이역,5호선,37.5087506251989,127.126096046986
오금역,5호선,37.5021388575469,127.127953219596
개롱역,5호선,37.4979682783882,127.135079598384
거여역,5호선,37.4933304500736,127.143773841911
마천역,5호선,37.4950381629493,127.152859864985
신내역,6호선,37.6124910157349,127.104271439503
봉화산역,6호선,37.6173526373999,127.091361250519
화랑대역,6호선,37.6198415528121,127.08354407564
태릉입구역,6호선,37.6173499119222,127.07475176155
석계역,6호선,37.6151491167469,127.066703301093
돌곶이역,6호선,37.61055222857029,127.05642453926866
상월곡역,6호선,37.6065588265169,127.048829192974
월곡역,6호선,37.6018044172918,127.041460725816
고려대역,6호선,37.5904428112875,127.036309418348
안암역,6호선,37.586307417971,127.029233420248
보문역,6호선,37.585541696968,127.020003515933
창신역,6호선,37.5794156449305,127.015296884838
동묘앞역,6호선,37.5721715926337,127.015725557994
신당역,6호선,37.5656730531732,127.019477533278
청구역,6호선,37.5609165488093,127.014165812912
약수역,6호선,37.5539252226626,127.010153707232
버티고개역,6호선,37.5478275106099,127.006730866101
한강진역,6호선,37.5397907743775,127.001765135176
이태원역,6호선,37.5345252050511,126.994333861918
녹사평역,6호선,37.5347227952064,126.9865496751
삼각지역,6호선,37.53555405127728,126.97403253638866
효창공원앞역,6호선,37.5393087503306,126.96139810075
공덕역,6호선,37.5435291483325,126.951895403142
대흥역,6호선,37.5476479056751,126.942473188734
광흥창역,6호선,37.547487384826,126.93203078679
상수역,6호선,37.54776618366393,126.92242989321456
합정역,6호선,37.5487840343032,126.91421318621
망원역,6호선,37.5560826563712,126.910094329982
마포구청역,6호선,37.5634871865932,126.903425598797
월드컵경기장역,6호선,37.5696355653344,126.899098148061
디지털미디어시티역,6호선,37.5760128452483,126.901276653303
증산역,6호선,37.583746353282,126.909494991105
새절역,6호선,37.5908600479967,126.913580663181
응암역,6호선,37.5984910629281,126.915542187709
역촌역,6호선,37.6062265591065,126.922844876471
불광역,6호선,37.6100477979795,126.930315826401
독바위역,6호선,37.6184141599944,126.933053652461
연신내역,6호선,37.6185144575356,126.920453534497
구산역,6호선,37.6112466906903,126.917258344574
부평구청역,7호선,37.5074335057831,126.72144197999
굴포천역,7호선,37.5070455900364,126.731346449706
삼산체육관역,7호선,37.5065022485406,126.741423266126
상동역,7호선,37.50578860265,126.753192450274
부천시청역,7호선,37.504643113710536,126.76406251971743
신중동역,7호선,37.5029525402622,126.776897204578
춘의역,7호선,37.5036991939036,126.786996627015
부천종합운동장역,7호선,37.5054255130821,126.797233841984
까치울역,7호선,37.5062273475174,126.81133736089
온수역,7호선,37.4919675365056,126.823847928009
천왕역,7호선,37.4868564822373,126.838604215448
광명사거리역,7호선,37.4792983082726,126.854873735158
철산역,7호선,37.4761928424537,126.868211027014
가산디지털단지역,7호선,37.4803959660982,126.882661758356
남구로역,7호선,37.48698929041151,126.88797025702439
대림역,7호선,37.4928430008915,126.896722858042
신풍역,7호선,37.5001229935524,126.90975434386
보라매역,7호선,37.4999217552104,126.920611175261
신대방삼거리역,7호선,37.499757228908564,126.92821094566965
장승배기역,7호선,37.5048990621814,126.939072381356
상도역,7호선,37.5028706251049,126.947917975554
숭실대입구역,7호선,37.4963172817574,126.953621963422
남성역,7호선,37.484793511299706,126.97091020065321
총신대입구역,7호선,37.4852894237752,126.981674028783
내방역,7호선,37.4876585212369,126.993600180589
고속터미널역,7호선,37.5033865633062,127.005007834609
반포역,7호선,37.5081614290284,127.011586161943
논현역,7호선,37.5112018042687,127.021653112054
학동역,7호선,37.51435840201333,127.0318996437755
강남구청역,7호선,37.5172152713709,127.041309814563
청담역,7호선,37.519455579961,127.053717937903
뚝섬유원지역,7호선,37.5315583755646,127.066796230331
건대입구역,7호선,37.5408686005702,127.071104284458
어린이대공원역,7호선,37.5479626782211,127.074655256871
군자역,7호선,37.5577765558418,127.079844019721
중곡역,7호선,37.56587524335624,127.08426477413238
